setting,k,batch,recall@k,complete_frac,em,f1,em_projected,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate,prompt_tokens_mean,em_residual
r2_topk_02,2,16,0.6495,0.38,0.305,0.3867,0.2408,0.5474,0.1565,0.2488,0.5417,0.041,337.3,0.0642
r2_topk_03,3,16,0.715,0.485,0.306,0.4014,0.2763,0.4763,0.1456,0.2587,0.5052,0.03,474.9,0.0297
regime2_a1_baseline,5,16,0.768,0.573,0.306,0.4037,0.306,0.4503,0.1124,0.2537,0.526,0.014,761.1,0.0
r2_topk_10,10,16,0.825,0.673,0.332,0.43,0.3398,0.4339,0.1223,0.2834,0.5365,0.015,1494.1,-0.0078
r2_topk_05_b8,5,8,0.768,0.573,0.306,0.4042,0.306,0.4503,0.1124,0.2537,0.526,0.014,761.1,0.0
r2_topk_20_b8,20,8,0.8675,0.743,0.313,0.4127,0.3635,0.3876,0.0973,0.2611,0.5312,0.013,2997.7,-0.0505
