setting,backend,nbits,q_group_size,residual_length,effective_bits,compression,rmse_proxy,identity_vs_fp16,em,f1,recall@5,complete_frac,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate
kv_fp16,,16,,,16.0,1.0,0.0,1.0,0.391,0.5067,0.916,0.838,0.4415,0.1296,0.3589,0.526,0.01
kv_hqq_n4_g32_r512,hqq,4,32.0,512.0,5.0,3.2,0.27915,0.95,0.385,0.5042,0.916,0.838,0.4356,0.1235,0.3515,0.526,0.01
kv_hqq_n2_g32_r512,hqq,2,32.0,512.0,3.0,5.333,1.44083,0.103,0.046,0.1503,0.916,0.838,0.0549,0.0,0.0186,0.1615,0.005
kv_hqq_n8_g32_r512,hqq,8,32.0,512.0,9.0,1.778,0.01611,0.999,0.391,0.5068,0.916,0.838,0.4415,0.1296,0.3589,0.526,0.009
kv_hqq_n3_g32_r512,hqq,3,32.0,512.0,5.0,3.2,0.61189,0.763,0.339,0.4746,0.916,0.838,0.3819,0.1173,0.3082,0.4688,0.01
kv_hqq_n2_g16_r512,hqq,2,16.0,512.0,4.0,4.0,1.18184,0.867,0.37,0.4917,0.916,0.838,0.42,0.1111,0.3329,0.526,0.009
kv_hqq_n3_g16_r512,hqq,3,16.0,512.0,6.0,2.667,0.49302,0.955,0.39,0.506,0.916,0.838,0.4403,0.1296,0.3577,0.526,0.01
kv_hqq_n1_g32_r512,hqq,1,32.0,512.0,2.0,8.0,,0.0,0.0,0.0264,0.916,0.838,0.0,0.0,0.0,0.0,0.0
kv_hqq_n4_g32_r0,hqq,4,32.0,0.0,5.0,3.2,,0.946,0.384,0.5018,0.916,0.838,0.4344,0.1235,0.3502,0.526,0.01
