setting,index,m,nbits,bytes_per_vector,compression,corpus_mib,ann_recall,exact_match_topk,recall@5,complete_frac,em,f1,em_projected,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate,em_residual
regime2_a1_baseline,flat,-,32,1536,1.0,97.5,1.0,1.0,0.768,0.573,0.306,0.4037,0.306,0.4503,0.1124,0.2537,0.526,0.014,0.0
knob2_sq_8bit,sq,-,8,384,4.0,24.4,0.9926,0.916,0.768,0.573,0.308,0.4057,0.306,0.452,0.1148,0.255,0.5312,0.013,0.002
knob2_pq_m192,pq,192,8,192,8.0,12.2,0.9244,0.396,0.766,0.572,0.306,0.4085,0.3057,0.4476,0.1168,0.2587,0.5052,0.016,0.0003
knob2_sq_4bit,sq,-,4,192,8.0,12.2,0.8964,0.283,0.7655,0.568,0.301,0.4007,0.3043,0.4507,0.1042,0.2537,0.5,0.015,-0.0033
knob2_pq_m64,pq,64,8,64,24.0,4.1,0.7146,0.036,0.735,0.527,0.306,0.4007,0.2905,0.4516,0.1438,0.255,0.5208,0.023,0.0155
knob2_pq_m48,pq,48,8,48,32.0,3.0,0.6564,0.015,0.716,0.498,0.286,0.3802,0.2807,0.4518,0.1215,0.2327,0.5104,0.023,0.0053
knob2_pq_m32,pq,32,8,32,48.0,2.0,0.542,0.004,0.652,0.423,0.275,0.3635,0.2553,0.4539,0.1438,0.2153,0.526,0.028,0.0197
knob2_pq_m16,pq,16,8,16,96.0,1.0,0.3246,0.0,0.4295,0.201,0.201,0.2807,0.1803,0.5075,0.1239,0.1448,0.4375,0.083,0.0207
