setting,index,value,ann_recall,ndis,recall@5,complete_frac,em,f1,em_projected,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate,em_residual
regime2_a1_baseline,flat,0,1.0,66581.0,0.768,0.573,0.306,0.4037,0.306,0.4503,0.1124,0.2537,0.526,0.014,0.0
knob1_hnsw_ef32,hnsw,32,0.9562,1228.4,0.7275,0.527,0.297,0.3954,0.2905,0.4592,0.1163,0.245,0.5156,0.025,0.0065
knob1_hnsw_ef16,hnsw,16,0.9028,766.3,0.692,0.496,0.292,0.3887,0.28,0.4577,0.129,0.2401,0.5104,0.034,0.012
knob1_hnsw_ef8,hnsw,8,0.8254,512.1,0.6265,0.424,0.287,0.3813,0.2557,0.4646,0.1562,0.245,0.4635,0.044,0.0313
knob1_hnsw_ef5,hnsw,5,0.743,406.5,0.572,0.365,0.275,0.3618,0.2357,0.4822,0.1559,0.2351,0.4427,0.052,0.0393
knob1_ivf_nprobe48,ivf,48,0.9202,3577.4,0.7255,0.527,0.304,0.3955,0.2905,0.4668,0.1226,0.2512,0.526,0.024,0.0135
knob1_ivf_nprobe6,ivf,6,0.7076,500.0,0.573,0.368,0.28,0.3716,0.2367,0.4973,0.1535,0.2277,0.5,0.048,0.0433
knob1_ivf_nprobe1,ivf,1,0.3644,91.5,0.3025,0.116,0.206,0.2792,0.1516,0.4397,0.1753,0.1646,0.3802,0.108,0.0544
