k,recall@k,complete_frac,em,f1,em_projected,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate,prompt_tokens_mean,em_residual
2,0.74,0.519,0.366,0.4691,0.2915,0.5453,0.1726,0.3205,0.5573,0.029,334.7,0.0745
3,0.831,0.683,0.379,0.4873,0.3426,0.4773,0.1672,0.3441,0.526,0.02,468.9,0.0364
5,0.916,0.838,0.391,0.5067,0.391,0.4415,0.1296,0.3589,0.526,0.01,744.0,0.0
7,0.953,0.907,0.401,0.5181,0.4125,0.4212,0.2043,0.3725,0.5208,0.008,1034.9,-0.0115
10,1.0,1.0,0.428,0.5448,0.4415,0.428,,0.3973,0.5573,0.005,1519.0,-0.0135
