setting,effective_bits,compression,rmse_proxy,em_short,em_explain,rel_cost_short,rel_cost_explain,mode_gap,identity_short,identity_explain,em_complete_short,em_complete_explain,abstain_short,abstain_explain,parse_fail_explain,decode_at_cap_explain
kv_fp16,16.0,1.0,0.0,0.391,0.424,0.0,0.0,0.033,1.0,1.0,0.4415,0.4845,0.01,0.008,0.006,0.005
kv_hqq_n8_g32_r512,9.0,1.778,0.01611,0.391,,0.0,,,0.999,,0.4415,,0.009,,,
kv_hqq_n3_g16_r512,6.0,2.667,0.49302,0.39,,-0.0026,,,0.955,,0.4403,,0.01,,,
kv_hqq_n4_g32_r0,5.0,3.2,,0.384,,-0.0179,,,0.946,,0.4344,,0.01,,,
kv_hqq_n3_g32_r512,5.0,3.2,0.61189,0.339,,-0.133,,,0.763,,0.3819,,0.01,,,
kv_hqq_n4_g32_r512,5.0,3.2,0.27915,0.385,0.416,-0.0153,-0.0189,0.031,0.95,0.61,0.4356,0.4737,0.01,0.001,0.003,0.001
kv_hqq_n2_g16_r512,4.0,4.0,1.18184,0.37,0.334,-0.0537,-0.2123,-0.036,0.867,0.451,0.42,0.3759,0.009,0.003,0.017,0.009
kv_hqq_n2_g32_r512,3.0,5.333,1.44083,0.046,0.0,-0.8824,-1.0,-0.046,0.103,0.001,0.0549,0.0,0.005,0.0,0.95,0.42
kv_hqq_n1_g32_r512,2.0,8.0,,0.0,,-1.0,,,0.0,,0.0,,0.0,,,
