setting,policy,keep_ratio,em,f1,recall@5,complete_frac,em_complete,em_incomplete,em_bridge,em_comparison,abstain_rate,parse_fail,trunc,decode_p50,decode_p99
evict_none_b1,none,1.0,0.428,0.5617,0.916,0.838,0.4893,0.1111,0.4134,0.4896,0.008,0.007,0.007,93.0,234.02999999999997
evict_recency_r025,recency,0.25,0.0,0.0328,0.916,0.838,0.0,0.0,0.0,0.0,0.001,0.943,0.417,85.5,256.0
evict_sink4_r025,sink_recent,0.25,0.031,0.1132,0.916,0.838,0.0346,0.0123,0.0248,0.0573,0.0,0.761,0.12,104.0,256.0
evict_random_r025_s42,random,0.25,0.004,0.026,0.916,0.838,0.0048,0.0,0.0025,0.0104,0.0,0.854,0.97,256.0,256.0
evict_attn_r025,attention,0.25,0.063,0.1722,0.916,0.838,0.0704,0.0247,0.0644,0.0573,0.001,0.525,0.199,92.0,256.0
evict_recency_r050,recency,0.5,0.002,0.0286,0.916,0.838,0.0024,0.0,0.0025,0.0,0.001,0.931,0.537,256.0,256.0
evict_sink4_r050,sink_recent,0.5,0.058,0.154,0.916,0.838,0.068,0.0062,0.0495,0.0938,0.0,0.788,0.109,108.0,256.0
evict_random_r050_s42,random,0.5,0.126,0.2208,0.916,0.838,0.1432,0.037,0.1176,0.1615,0.001,0.128,0.391,121.0,256.0
evict_attn_r050,attention,0.5,0.04,0.1877,0.916,0.838,0.0477,0.0,0.0384,0.0469,0.0,0.084,0.025,86.0,256.0
